term_id	annotation_genes	my_method	dhac
39880	['839566', '837974', '838455', '843095', '816545', '817499', '817620', '818343', '821143', '820041', '820741', '3770591', '833471']	[11, 12, 13, 14, 15, 16, 17]	[12, 13]
39901	['839566', '837974', '838455', '843095', '816545', '817499', '817620', '818343', '821143', '820741', '3770591', '833471', '834232']	[11, 12, 13, 14, 15, 16, 17]	[13]
35800	['816545', '817499', '821143', '820041', '3770591']	[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]	[12, 13, 15, 16, 17]
19318	['838362', '842833', '843110', '816692', '829966']	[7, 8, 9, 10]	[8, 9, 10]
745	['838151', '825208', '826914', '831122', '835320', '835375']	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]	[3, 4, 5]
40388	['837974', '838455', '816545', '817499', '817620', '818343', '821143', '820041', '820741', '3770591', '833471']	[11, 12, 13, 14, 15, 16, 17, 18, 19]	[12, 13]
129512	['838807', '838851', '841558', '822517', '823831', '827307', '836043']	[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52]	[44]
41825	['837974', '816545', '817499', '820041', '833471']	[11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]	[12, 13, 15, 16, 17, 25]
58771	['839433', '837778', '844010', '844343', '816270', '817499', '819107', '820041', '831861', '832057']	[14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]	[17]
16456	['839566', '837974', '816545', '817499', '817620', '818343', '820741']	[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]	[11, 12, 13]
24621	['837996', '843095', '817620', '821143', '3770591']	[8, 9, 10, 11, 12, 13, 14, 15, 16, 17]	[12]
188087	['839392', '837040', '839930', '841920', '814643', '816651', '818300', '818633', '824524', '829966', '830128', '830699', '836393']	[48, 49]	[49]
186805	['838250', '838672', '838779', '841892', '842833', '844230', '818316', '827727']	[46, 47, 48]	[46, 47]
60600	['837974', '816270', '816545', '819107', '820041']	[14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]	[16, 17, 25, 26, 27]
29489	['839566', '837974', '838455', '816545', '817499', '817620', '818343', '820741', '833471']	[9, 10, 11, 12, 13, 14, 15, 16, 17]	[11, 12, 13]
38847	['839566', '837974', '837996', '838455', '843095', '816545', '817499', '817620', '818343', '821143', '820041', '820741', '3770591', '833471']	[11, 12]	[12]
58477	['839433', '837778', '844010', '844343', '816270', '816545', '817499', '819107', '820041', '831861', '832057', '833471']	[14, 15, 16, 17, 18, 19, 20, 21, 22, 23]	[17]
133905	['838807', '838851', '841558', '843903', '822517', '823831', '827307', '836043']	[26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52]	[44]
184821	['838250', '838672', '841920', '843747', '844230', '814643', '818316', '829966', '830128']	[44, 45, 46]	[44]
16277	['839566', '837974', '838455', '816545', '817499', '817620', '818343', '820741']	[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]	[11, 12, 13]
51342	['839433', '837974', '816270', '816545', '817499', '818343', '819107', '820741', '834232']	[13, 14, 15, 16, 17, 18]	[16]
40136	['837974', '838455', '843095', '816545', '817499', '817620', '818343', '821143', '820041', '820741', '3770591', '833471']	[11, 12, 13, 14, 15, 16, 17, 18]	[12, 13]
16457	['839566', '837974', '816545', '817499', '817620', '821143', '820741']	[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]	[12, 13]
6664	['838851', '842103', '829995', '830101', '835398']	[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]	[6]
8655	['838807', '838851', '841558', '843903', '822517', '827307', '836043']	[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52]	[43, 44]
47728	['837974', '816545', '818731', '819107', '820041']	[12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]	[15, 16, 17, 25, 26, 27]
59782	['839433', '816270', '817499', '819107', '820041']	[14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]	[16, 17]
24758	['839566', '837974', '843095', '816545', '817499', '817620', '821143', '820741']	[8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]	[12, 13]
164012	['838807', '838851', '841558', '843903', '822517', '823831', '827307', '828884', '836043']	[35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45]	[44]
46458	['839433', '816545', '817499', '819107', '820041', '833471']	[12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]	[15, 16, 17]
187955	['839392', '839930', '816651', '824524', '830699', '836393']	[47, 48, 49, 50, 51, 52]	[48, 49]
673	['838151', '824699', '825208', '826914', '831122', '835320', '835375']	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]	[3, 4, 5]
16287	['839566', '837974', '838455', '816545', '817499', '817620', '821143', '820741']	[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]	[12, 13]
16958	['837974', '816545', '817499', '817620', '818343', '820741']	[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]	[11, 12, 13]
125362	['838362', '817499', '817620', '818343', '833471']	[25, 26, 27, 28, 29, 30]	[27]
29477	['839566', '837974', '838455', '843095', '816545', '817499', '817620', '820741', '833471']	[9, 10, 11, 12, 13, 14, 15, 16, 17]	[12, 13]
6764	['839433', '837974', '818343', '820741', '834232']	[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]	[3, 4, 15, 16]
16959	['837974', '817620', '818343', '820741', '833471']	[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]	[11, 12, 13]
30392	['837974', '816545', '817499', '817620', '818343', '820741', '833471']	[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]	[11, 12, 13]
744	['838151', '843903', '824970', '825208', '826914', '829995', '831122', '835320']	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]	[3, 4]
25035	['843095', '816545', '817499', '817620', '821143', '820741']	[8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]	[12, 13, 14]
746	['842103', '843903', '822517', '824970', '826914', '829995', '831122', '835320', '836043']	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]	[3, 4]
747	['841558', '842103', '843903', '822517', '824970', '826914', '829995', '835320', '836043']	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]	[3, 4]
186729	['838362', '838250', '838672', '838779', '841892', '842833', '844230', '818316', '827727']	[46, 47]	[46]
184537	['837040', '838250', '841920', '843747', '844230', '814643', '818316', '829966', '830128']	[44, 45]	[44]
34621	['839566', '837974', '838455', '843095', '816545', '817499', '817620', '820741', '3770591', '833471']	[10, 11, 12, 13, 14, 15, 16, 17]	[12, 13]
16455	['839433', '837974', '818343', '819107', '820741', '834232']	[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]	[15, 16]
60169	['837974', '816270', '816545', '818731', '819107', '820041']	[14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]	[16, 17, 25, 26, 27]
185068	['839392', '837040', '841920', '843747', '814643', '829966', '830128']	[44, 45, 46, 47, 48, 49]	[44, 45, 46, 49]
187949	['838362', '838779', '841467', '843110', '843827', '816692', '818316']	[47, 48, 49, 50, 51, 52]	[49]
125048	['838362', '839642', '817499', '817620', '818343', '833471']	[25, 26, 27, 28, 29]	[27]
24563	['839566', '837974', '838455', '843095', '816545', '817499', '817620', '821143', '820741', '3770591']	[8, 9, 10, 11, 12, 13, 14, 15, 16, 17]	[12, 13]
188553	['841920', '816651', '818300', '831910', '837040', '839930', '844283', '824524', '836393', '843747', '830699', '839642', '830128', '814643', '829966', '840006', '839392', '818633']	[49]	[49]
187726	['838362', '838779', '841467', '842833', '843110', '843827', '844230', '816692', '818316']	[47, 48, 49, 50]	[49]
29938	['837974', '838455', '816545', '817499', '817620', '818343', '820741', '833471']	[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]	[11, 12, 13]
16956	['837974', '816545', '817499', '817620', '821143', '820741']	[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]	[12, 13]
16630	['837974', '838455', '816545', '817499', '817620', '818343', '820741']	[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]	[11, 12, 13]
47431	['837974', '816545', '817499', '818731', '819107', '820041', '833471']	[12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]	[15, 16, 17, 25]
41065	['837974', '816545', '817499', '821143', '820041', '820741', '3770591', '833471']	[11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]	[12, 13, 15, 16, 17]
186042	['839392', '837040', '841920', '843747', '814643', '824524', '829966', '830128']	[45, 46, 47, 48, 49]	[45, 46, 49]
1010	['839433', '837974', '817221', '818343', '834232']	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]	[0, 1, 2, 3, 4, 15, 16]
1298	['837778', '844343', '817646', '831861', '832057']	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]	[0, 1, 2, 3, 4, 6, 7]
187889	['839392', '837040', '839930', '841920', '814643', '816651', '824524', '830699', '836393']	[47, 48, 49, 50, 51]	[49]
16629	['837974', '838455', '817620', '818343', '820741', '833471']	[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]	[11, 12, 13]
1065	['839566', '837974', '816545', '817499', '818343']	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]	[0, 1, 2, 3, 4, 11, 12, 13]
164184	['841558', '822517', '823831', '828884', '836043']	[35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46]	[44]
167242	['837778', '844343', '816270', '817620', '818343', '831861', '832057']	[36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46]	[42, 43]
59580	['837974', '816270', '816545', '817221', '818731', '819107', '820041']	[14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]	[16, 17, 25]
6910	['838807', '838851', '841558', '842103', '822517', '836043']	[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]	[11]
184819	['839392', '841920', '843747', '844230', '814643', '818316', '829966', '830128']	[44, 45, 46]	[44]
162146	['838779', '827727', '818316', '842833', '814643', '829966']	[35]	[35]
59779	['837974', '816270', '816545', '817499', '818731', '819107', '820041', '833471']	[14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]	[16, 17, 25]
591	['841558', '842103', '843903', '822517', '824970', '826914', '829995', '831122', '835320', '836043']	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	[3, 4]
16626	['837974', '838455', '816545', '817499', '817620', '821143', '820741']	[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]	[12, 13]
281	['839433', '839566', '837974', '837996', '841843', '843095', '843596', '843810', '816545', '817221', '817499', '818343', '820041', '835320']	[0, 1, 2, 3, 4, 5, 6]	[3]
188458	['839392', '839930', '816651', '818300', '818633', '824524', '830699', '836393']	[48, 49, 50, 51, 52]	[48, 49]
6765	['839566', '837974', '816545', '817499', '818343', '820741']	[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]	[3, 4, 11, 12, 13]
35126	['837974', '838455', '816545', '817499', '817620', '820741', '3770591', '833471']	[10, 11, 12, 13, 14, 15, 16, 17, 18, 19]	[12, 13]
23695	['839566', '837974', '837996', '838455', '843095', '816545', '817499', '817620', '821143', '820741', '3770591']	[8, 9, 10, 11, 12]	[12]
25029	['837974', '838455', '816545', '817499', '817620', '821143', '820741', '3770591']	[8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]	[12, 13]
34642	['839433', '817221', '818731', '819107', '828489', '834232', '835355']	[10, 11, 12, 13, 14, 15, 16, 17]	[15, 16]
129544	['838807', '841558', '822517', '823831', '827307', '836043']	[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53]	[44, 45, 46]
46455	['837974', '816545', '817499', '818731', '819107', '820041', '820741', '3770591', '833471']	[12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]	[15, 16, 17]
59180	['837974', '816270', '816545', '817221', '817499', '818731', '819107', '820041', '833471']	[14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]	[16, 17, 25]
160955	['816270', '817620', '818343', '831861', '832057']	[34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46]	[42, 43]
29692	['837974', '838455', '843095', '816545', '817499', '817620', '820741', '833471']	[9, 10, 11, 12, 13, 14, 15, 16, 17, 18]	[12, 13]
6645	['839566', '837974', '838455', '816545', '817499', '818343', '820741']	[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]	[11, 12, 13]
6660	['839433', '837974', '817221', '818343', '820741', '833471', '834232']	[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]	[15, 16]
187846	['838362', '838779', '841467', '842833', '843110', '843827', '816692', '818316']	[47, 48, 49, 50, 51]	[49]
185831	['839392', '837040', '841920', '843747', '814643', '820827', '824524', '829966', '830128']	[45, 46]	[45]
8945	['838362', '841467', '842833', '844230', '816651', '816692', '818316', '829966']	[4, 5, 6, 7, 8, 9, 10]	[4, 5, 6, 7, 8, 10]
188387	['839392', '837040', '839930', '841920', '814643', '816651', '818300', '818633', '824524', '830699', '836393']	[48, 49, 50, 51]	[49]
133931	['838807', '841558', '843903', '822517', '823831', '827307', '836043']	[26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53]	[44, 45, 46]
187569	['839392', '837040', '839930', '841920', '843747', '814643', '816651', '818300', '824524', '829966', '830128', '836393']	[47, 48, 49]	[49]
1960	['838807', '841558', '843903', '822517', '827307', '836043']	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53]	[3, 4, 43, 44, 45, 46]
12908	['839433', '837974', '817221', '818343', '818731', '820741', '833471', '834232']	[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]	[15, 16]
34870	['837974', '838455', '843095', '816545', '817499', '817620', '820741', '3770591', '833471']	[10, 11, 12, 13, 14, 15, 16, 17, 18]	[12, 13]
39900	['839433', '837974', '838455', '816545', '817221', '818343', '818731', '819107', '820741', '828489', '833471', '834232', '835355']	[11, 12, 13, 14, 15, 16, 17]	[15, 16]
8807	['838362', '839642', '841467', '842833', '844230', '816651', '816692', '818316', '829966']	[4, 5, 6, 7, 8, 9]	[4, 5, 6, 7, 8]
184462	['838779', '844230', '842833', '838250', '838672', '818316', '843747', '814643', '841920', '830128', '837040', '829966']	[44]	[44]
24769	['837974', '838455', '843095', '816545', '817499', '817620', '821143', '820741', '3770591']	[8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]	[12, 13]
9752	['839566', '838455', '843095', '816545', '821143', '3770591']	[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]	[12, 13]
424	['837778', '841652', '841843', '842985', '843048', '843596', '843810', '844343', '816270', '817272', '817646', '818069', '825714', '827727', '831861', '831151', '831377', '832057', '833979', '834232', '835320']	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]	[3, 4]
1066	['839566', '837974', '843095', '816545', '817499']	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]	[0, 1, 2, 3, 4, 12, 13]
188086	['839392', '837040', '839930', '841920', '843747', '814643', '816651', '818300', '818633', '824524', '829966', '830128', '836393']	[48, 49]	[49]
6766	['839566', '837974', '843095', '816545', '817499', '821143', '820741']	[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]	[12, 13]
46231	['839433', '837974', '816545', '817499', '818731', '819107', '820041', '820741', '3770591', '833471', '835355']	[12, 13, 14, 15, 16, 17, 18, 19, 20, 21]	[15, 16, 17]
1093	['837778', '844343', '817272', '831832', '832136']	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]	[0, 1, 2, 3, 4]
125810	['839433', '837974', '816270', '816545', '819107', '820041', '823859', '828489', '3770591']	[25, 26, 27, 28, 29, 30, 31, 32, 33]	[27]
125809	['839433', '837974', '816270', '816545', '820041', '823859', '828489', '3770591', '836393']	[25, 26, 27, 28, 29, 30, 31, 32, 33]	[27, 29]
184535	['839392', '837040', '841920', '843747', '844230', '814643', '818316', '829966', '830128']	[44, 45]	[44]
71557	['838021', '838364', '817272', '820211', '830157']	[16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]	[21]
6563	['838851', '842103', '818899', '826914', '829995', '830101', '831122', '835398']	[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]	[6]
7019	['838807', '838851', '841558', '842103', '836043']	[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]	[6, 11]
1089	['837778', '843596', '844343', '817272', '817646', '825714', '832057']	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]	[0, 1, 2, 3, 4]
5860	['838362', '841467', '842833', '844230', '816651', '816692', '818316']	[3, 4, 5, 6, 7, 8, 9, 10]	[4, 5, 6, 7, 8, 10]
183598	['838250', '838672', '841920', '843747', '844230', '814643', '818316', '829966']	[43, 44, 45, 46]	[44]
188829	['839392', '839642', '839930', '840006', '844283', '816651', '818300', '818633', '824524', '831910', '830699', '836393']	[49, 50, 51, 52]	[49]
866	['843903', '822517', '824970', '827307', '829995', '830101', '835398', '836043']	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]	[3, 4]
6646	['839566', '837974', '838455', '843095', '816545', '817499', '821143', '820741']	[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]	[12, 13]
16300	['839433', '837974', '817221', '818343', '818731', '819107', '820741', '833471', '834232', '835355']	[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]	[15, 16]
127219	['838079', '841468', '816768', '818069', '824970', '827001', '829995', '831472', '831528', '832070']	[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40]	[29]
188765	['839392', '837040', '839642', '839930', '840006', '841920', '844283', '814643', '816651', '818300', '818633', '824524', '831910', '830699', '836393']	[49, 50, 51]	[49]
224	['841920', '844283', '817174', '824524', '828213', '828577', '835431']	[0, 1, 2, 3]	[0, 1, 3]
5727	['838362', '839642', '841467', '842833', '844230', '816651', '816692', '818316']	[3, 4, 5, 6, 7, 8, 9]	[4, 5, 6, 7, 8]
185740	['814643', '824524', '843747', '830128', '841920', '829966', '820827', '837040', '839392', '822132', '839930']	[45]	[45]
527	['838151', '839869', '843903', '824699', '824970', '825208', '826914', '827830', '829995', '831122', '832247', '835320', '835375']	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]	[3, 4]
1225	['837778', '844343', '817646', '825714', '832057', '832136']	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]	[0, 1, 2, 3, 4]
863	['824970', '827307', '829995', '830101', '831122', '835398', '836043']	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]	[3, 4]
422	['837778', '841652', '841843', '842985', '843048', '844264', '844343', '816270', '817272', '817646', '818069', '820211', '822266', '825714', '827001', '827727', '831861', '831151', '831377', '832057', '833979', '834232', '835320']	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]	[3, 4]
984	['825208', '826914', '831122', '835375', '835398']	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]	[3, 4, 5, 6, 7]
6424	['838151', '838851', '841447', '818899', '820775', '824699', '826914', '830101', '831122', '835398']	[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]	[6]
1087	['837778', '844343', '817272', '817646', '825714', '832057', '832136']	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]	[0, 1, 2, 3, 4]
126635	['838079', '841468', '816768', '818069', '824970', '825208', '827001', '829995', '830101', '831472', '831528', '832070']	[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37]	[29]
8721	['838362', '838672', '839642', '841467', '841900', '842833', '844230', '816651', '816692', '818316', '829966']	[4, 5, 6, 7]	[5, 6, 7]
1094	['837778', '843596', '844343', '817646', '825714', '831861', '831151', '831377', '832057', '833979']	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]	[0, 1, 2, 3, 4]
9123	['839566', '837996', '838455', '843095', '816545', '821143', '3770591']	[4, 5, 6, 7, 8, 9, 10, 11, 12]	[12]
6031	['839566', '837974', '837996', '838455', '843095', '816545', '817499', '821143', '820741']	[3, 4, 5, 6, 7, 8, 9, 10, 11, 12]	[12]
6759	['816768', '820775', '825208', '831122', '835375', '835398']	[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]	[6]
125217	['837974', '816270', '816545', '818731', '821143', '820041', '823859', '828489', '3770591', '836393']	[25, 26, 27, 28, 29, 30]	[27]
1224	['837778', '844343', '817646', '825714', '831861', '831151', '831377', '832057', '833979']	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]	[0, 1, 2, 3, 4]
